"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
872,47,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo","","Aisén|Aysén|Aysén del General Carlos Ibáñez del Campo","Región","Region"
873,47,"CHL","Chile",2,"Antofagasta","","","Región","Region"
874,47,"CHL","Chile",3,"Araucanía","","Araucanie|La Araucanía","Región","Region"
875,47,"CHL","Chile",4,"Atacama","","","Región","Region"
876,47,"CHL","Chile",5,"Bío-Bío","","Bíobío","Región","Region"
877,47,"CHL","Chile",6,"Coquimbo","","","Región","Region"
878,47,"CHL","Chile",7,"Libertador General Bernardo O'Higgins","","Libertador","Región","Region"
879,47,"CHL","Chile",8,"Los Lagos","","Os Lagos","Región","Region"
880,47,"CHL","Chile",9,"Magallanes y Antártica Chilena","","Magalhães|Magellan et Antarctique Chilienne|Región de Magallanes y de la Antártica Chilena","Región","Region"
881,47,"CHL","Chile",10,"Maule","","","Región","Region"
882,47,"CHL","Chile",11,"Región Metropolitana de Santiago","","Región Metropolitana|Région Metropolitaine de Santiago|Región Metropolitana|RM","Región","Region"
883,47,"CHL","Chile",12,"Tarapacá","","","Región","Region"
884,47,"CHL","Chile",13,"Valparaíso","","Aconcagua","Región","Region"
